Longitudinal_position,Prismatic_coefficient,Length_displacement_ratio,Beam_draught_ratio,Length_beam_ratio,Froude_number,Residuary_resistance
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,-1.6124515496597103,0.11
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,-1.3643820804812934,0.27
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,-1.1163126113028765,0.47
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,-0.8682431421244595,0.78
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,-0.6201736729460426,1.18
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,-0.3721042037676257,1.82
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,-0.12403473458920858,2.61
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,0.12403473458920802,3.76
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,0.37210420376762515,4.99
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,0.6201736729460418,7.16
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,0.868243142124459,11.93
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,1.116312611302876,20.11
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,1.3643820804812927,32.75
0.05415695768289582,0.166162428291853,-0.03418366616095727,0.09717081785612378,-0.1487029755827694,1.6124515496597098,49.49
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,-1.6124515496597103,0.04
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,-1.3643820804812934,0.17
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,-1.1163126113028765,0.37
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,-0.8682431421244595,0.66
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,-0.6201736729460426,1.06
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,-0.3721042037676257,1.59
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,-0.12403473458920858,2.33
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,0.12403473458920802,3.29
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,0.37210420376762515,4.61
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,0.6201736729460418,7.11
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,0.868243142124459,11.99
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,1.116312611302876,21.09
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,1.3643820804812927,35.01
0.05415695768289582,0.20916917443798047,-0.03418366616095727,-1.638615586582311,1.7495547621034802,1.6124515496597098,51.8
0.05415695768289582,0.03714218985347049,-0.03418366616095727,2.582086091578513,-1.8046299382452424,-1.6124515496597103,0.09
0.05415695768289582,0.03714218985347049,-0.03418366616095727,2.582086091578513,-1.8046299382452424,-1.3643820804812934,0.29
