0,1,2,3,4,5,6,7,8,9,10,target
-0.14552,8.5709,-0.60261,0.03077,0.0058599,0.026287,0.011241,0.0039462,-0.00379,0.020535,0.016056,0.022417
5.8545,6.5709,0.39739,0.010624,0.0027306,-0.0021445,0.0048017,-0.0026295,0.0028105,0.00066051,0.00039104,0.0078995
-2.1455,12.571,0.39739,-0.022131,0.0057986,-0.013,-0.0035308,-0.026317,0.0012424,-0.012293,-0.010659,-0.0065244
1.8545,-4.4291,0.39739,-0.027211,-0.029227,-0.021972,-0.025216,-0.027714,-0.022483,-0.025381,-0.015049,-0.018931
1.8545,-11.429,-0.60261,0.004349,0.0023643,-0.0025338,-0.0028836,0.0018672,-0.00022128,-0.0030258,-0.0042846,0.00022466
0.85448,15.571,-0.60261,0.014642,9.623e-05,-0.0060552,-0.0055319,0.018367,0.0043373,-0.0028714,0.0098198,0.0091973
0.85448,-9.4291,0.39739,0.02137,-0.0006433,0.020506,0.028403,0.0073527,0.018589,0.025892,0.014651,0.017433
5.8545,-6.4291,-0.60261,-0.013,0.0030223,-0.0079083,-0.004193,-0.013785,0.0032344,-0.00894,-0.0054145,-0.009858
1.8545,-9.4291,0.39739,0.0041783,-0.0043542,-0.012465,-0.0067543,-0.0015308,-0.0055798,-0.01067,-0.0027821,0.0008826
0.85448,1.5709,-0.60261,-0.010834,-0.0010261,0.0035487,0.0056607,0.0051524,0.0020265,0.0059226,0.0093464,-0.012952
-2.1455,1.5709,-0.60261,-0.0079931,0.0043138,0.013791,0.0092617,0.01694,-0.0063164,0.01453,-0.0064619,-0.0042469
0.85448,13.571,0.39739,0.003877,-0.0048106,-0.0079064,-0.0015823,-0.0061948,0.0012477,-0.0036783,0.00049634,0.003868
-2.1455,14.571,0.39739,0.0072052,-0.017431,-0.0022207,-0.012058,-0.00030771,-0.0075475,-0.0065393,0.0032288,0.0027273
1.8545,-5.4291,-0.60261,0.0027376,-0.0039939,-0.0082302,-0.0024989,0.010408,0.0079018,-0.0036478,0.0032603,-0.0034613
2.8545,14.571,0.39739,0.0072368,-0.0037318,-0.0035903,-0.004234,-0.020387,0.0019783,-0.0025227,0.0025763,0.0017671
2.8545,-7.4291,-0.60261,-0.0082108,-0.0006433,0.0026085,0.0023438,0.0066721,0.020077,0.0024029,0.012993,-0.011126
3.8545,12.571,-0.60261,-0.031633,-0.020378,-0.025652,-0.023971,-0.013854,-0.049581,-0.022085,-0.026887,-0.031712
-2.1455,-8.4291,-0.60261,-0.03658,-0.024787,-0.007019,-0.016412,-0.0031431,-0.0087088,-0.011444,-0.0065018,-0.011926
-2.1455,3.5709,0.39739,-0.015764,0.0038678,-0.0037119,-0.0033171,-0.017882,-0.005599,-0.0056959,-0.016455,-0.0028405
-3.1455,2.5709,0.39739,-0.020056,-0.00096919,-0.0027097,-0.00086466,-0.0098442,-0.0013083,-0.0034611,-0.0010544,-0.015896
3.8545,-14.429,-0.60261,-0.0079575,-0.026741,-0.022202,-0.017423,-0.015681,-0.0183,-0.017848,-0.004169,-0.0038419
5.8545,-1.4291,0.39739,0.0031371,0.00026724,-0.0010039,0.0046633,0.0019125,-0.0064913,0.0024743,0.002035,0.00031664
1.8545,-9.4291,-0.60261,-0.0086277,-0.0062839,0.0024444,0.0087855,0.012828,-0.012154,0.0066713,0.00068824,-0.0030744
0.85448,14.571,0.39739,-0.016854,-0.0005798,0.00144,-0.011104,-0.016813,0.0074086,-0.0066365,-0.0042309,-0.016065
-4.1455,-11.429,-0.60261,0.021679,-0.008161,0.025856,0.014764,0.026601,0.0086296,0.018299,0.01423,0.016949
-4.1455,7.5709,0.39739,-0.034534,-0.01282,-0.015664,-0.0074475,-0.0049693,-0.017081,-0.011925,-0.0027621,-0.024249
-1.1455,2.5709,0.39739,0.019653,-0.014941,0.013844,0.0079668,0.00036421,-0.033677,0.013269,-0.003355,0.01442
-1.1455,-3.4291,0.39739,0.029447,0.013003,0.023137,0.0086895,-0.0019487,0.01139,0.012435,0.0062315,0.024845
-5.1455,-3.4291,1.3974,0.0075118,0.008324,0.017439,0.0055736,-0.00010604,0.016101,0.013926,0.010936,0.0021316
-3.1455,10.571,-0.60261,-0.0010061,0.022409,0.007786,0.0058536,0.017961,0.017788,0.0040938,0.015482,-0.0065973
1.8545,-6.4291,0.39739,0.0066554,0.0048248,0.013865,0.01403,-0.0075554,-0.0043629,0.012897,0.0026756,0.0005883
